intern_id,month,tasks_completed,avg_completion_time_hrs,avg_quality_score,avg_mentor_feedback,speed_score,performance_score
INT025,2026-09,4,2.95,9.45,7.23,6.81425485961123,7.99
INT028,2026-09,9,3.47,8.37,9.07,6.252699784017278,7.94
INT021,2026-09,8,4.05,9.38,6.88,5.62634989200864,7.5
INT014,2026-09,7,5.09,8.86,8.46,4.503239740820735,7.43
INT008,2026-09,6,5.43,9.04,8.5,4.136069114470843,7.41
INT020,2026-09,9,4.34,8.65,7.63,5.31317494600432,7.34
INT006,2026-09,8,4.84,7.34,9.62,4.773218142548597,7.25
INT018,2026-09,4,2.98,8.09,6.22,6.781857451403887,7.14
INT022,2026-09,8,4.26,7.85,7.62,5.399568034557236,7.05
INT010,2026-09,8,5.95,6.51,10.0,3.574514038876889,6.68
INT024,2026-09,4,6.59,7.62,8.98,2.8833693304535633,6.61
INT005,2026-09,6,5.52,6.93,8.34,4.0388768898488125,6.49
INT011,2026-09,7,5.85,6.76,8.89,3.6825053995680346,6.48
INT003,2026-09,4,5.96,7.71,7.67,3.5637149028077753,6.45
INT009,2026-09,4,6.1,7.32,8.3,3.412526997840173,6.44
INT001,2026-09,4,5.74,7.38,7.12,3.801295896328294,6.23
INT013,2026-09,9,6.23,7.19,7.75,3.2721382289416843,6.18
INT017,2026-09,4,4.99,7.34,6.08,4.611231101511879,6.14
INT030,2026-09,5,4.98,5.73,7.55,4.622030237580993,5.94
INT015,2026-09,8,5.58,6.74,5.96,3.9740820734341256,5.68
INT023,2026-09,5,7.43,7.09,7.32,1.9762419006479481,5.62
INT019,2026-09,6,6.8,5.95,7.52,2.65658747300216,5.43
INT029,2026-09,4,5.95,5.79,6.62,3.574514038876889,5.37
INT002,2026-09,8,6.97,6.28,6.49,2.4730021598272134,5.2
INT016,2026-09,7,6.24,6.4,5.35,3.2613390928725696,5.14
INT027,2026-09,6,7.99,6.12,7.04,1.3714902807775375,4.97
INT026,2026-09,6,7.79,6.33,6.14,1.5874730021598271,4.85
INT012,2026-09,8,6.89,6.37,3.71,2.5593952483801297,4.43
INT004,2026-09,4,7.69,5.03,5.97,1.6954643628509714,4.31
INT007,2026-09,5,9.26,6.07,5.22,0.0,3.99
