intern_id,month,tasks_completed,avg_completion_time_hrs,avg_quality_score,avg_mentor_feedback,speed_score,performance_score
INT008,2026-08,5,2.85,9.09,10.0,6.922246220302375,8.71
INT025,2026-08,6,3.63,9.64,8.66,6.079913606911447,8.28
INT028,2026-08,5,3.2,9.21,8.31,6.5442764578833685,8.14
INT021,2026-08,7,4.94,9.35,9.65,4.665226781857451,8.03
INT020,2026-08,7,2.73,7.56,8.15,7.051835853131749,7.58
INT018,2026-08,4,5.34,9.33,7.69,4.2332613390928735,7.31
INT006,2026-08,6,5.36,7.93,9.41,4.211663066954642,7.26
INT014,2026-08,4,4.38,8.43,7.45,5.269978401727862,7.19
INT024,2026-08,7,6.06,7.21,9.93,3.455723542116631,6.9
INT022,2026-08,9,5.05,7.64,6.37,4.546436285097192,6.33
INT012,2026-08,9,6.09,6.95,8.05,3.4233261339092866,6.22
INT027,2026-08,9,6.3,7.48,6.81,3.1965442764578835,5.99
INT013,2026-08,7,6.96,7.68,7.03,2.4838012958963285,5.93
INT017,2026-08,8,6.66,7.24,7.22,2.8077753779697625,5.9
INT005,2026-08,4,6.35,6.96,6.98,3.142548596112311,5.82
INT016,2026-08,9,6.13,6.77,6.76,3.38012958963283,5.75
INT029,2026-08,4,6.68,6.49,7.64,2.786177105831533,5.72
INT009,2026-08,8,7.27,7.62,6.77,2.14902807775378,5.72
INT003,2026-08,9,5.35,6.33,6.41,4.222462203023758,5.72
INT030,2026-08,8,6.42,6.48,7.31,3.06695464362851,5.71
INT023,2026-08,9,6.66,6.71,7.14,2.8077753779697625,5.67
INT010,2026-08,9,5.66,5.73,7.13,3.8876889848812093,5.6
INT002,2026-08,9,6.53,5.62,7.99,2.9481641468682493,5.53
INT019,2026-08,6,7.21,6.41,7.53,2.213822894168467,5.49
INT001,2026-08,5,6.34,7.11,5.58,3.153347732181425,5.46
INT015,2026-08,7,6.43,6.01,6.21,3.056155507559395,5.18
INT011,2026-08,8,7.74,6.07,7.44,1.6414686825053992,5.15
INT026,2026-08,7,6.98,6.73,5.51,2.4622030237580983,5.08
INT007,2026-08,8,8.57,4.46,8.4,0.7451403887688979,4.53
INT004,2026-08,7,8.54,4.64,5.62,0.7775377969762431,3.78
